PABY-XXX	PFUR-XXX	PHOR-XXX	PKOD-XXX	SAGA-IAX	SAGA-III	SAGA-VXX	SDYS-XXX	SEQU-XXX	SEQU-MGC	SEQU-ZOO	SGAL-XXX	SGOR-XXX	SMIT-XXX	SMUT-ATC	SMUT-NN2	SPNE-705	SPNE-A19	SPNE-AT7	SPNE-ATB	SPNE-CGS	SPNE-D39	SPNE-G54	SPNE-HUN	SPNE-JJA	SPNE-P10	SPNE-TAI	SPNE-TIG	SPYO-ATC	SPYO-M18	SPYO-M28	SPYO-M2X	SPYO-M49	SPYO-M4X	SPYO-M5X	SPYO-M6X	SPYO-MG6	SPYO-MG5	SPYO-MG9	SPYO-SF3	SPYO-SSI	SSAN-XXX	SSUI-05Z	SSUI-98H	SSUI-BM4	SSUI-GZ1	SSUI-P17	SSUI-SC8	STHE-AT2	STHE-AT4	STHE-CNR	SUBE-XXX	BAMY-XXX	BANT-A02	BANT-AMA	BANT-AME	BANT-CDC	BANT-STE	BCER-03B	BCER-172	BCER-958	BCER-H71	BCER-H72	BCER-H73	BCER-H18	BCER-H60	BCER-H62	BCER-H67	BCER-H82	BCER-A76	BCER-A87	BCER-A79	BCER-A42	BCER-B42	BCER-BCE	BCER-ST1	BCER-ST4	BCER-ST6	BCER-6E1	BCER-CYT	BCER-F65	BCER-G98	BCER-M12	BCER-MM1	BCER-MM3	BCER-Q1X	BCER-R30	BCER-R15	BCER-R3X	BCER-R28	BCER-R29	BCER-R42	BCER-R44	BCER-R18	BCER-R2X	BCER-ANT	BCER-ZKX	BCLA-XXX	BHAL-XXX	BLIC-GOE	BLIC-NOV	BMEG-ATC	BMEG-DSM	BMYC-DSM	BMYC-R4X	BMYC-R17	BFIR-PSE	BMYC-PSE	BPUM-XXX	BSEL-XXX	BSUB-XXX	BTHU-ATC	BTHU-4AJ	BTHU-4AW	BTHU-4BA	BTHU-4BD	BTHU-4CC	BTHU-4YI	BTHU-BMB	BTHU-BT4	BTHU-XXX	BTHU-IB2	BTHU-IB4	BTHU-KON	BTHU-T01	BTHU-T03	BTHU-T04	BTHU-T13	BTUS-XXX	BWEI-XXX	BAPH-5AX	BAPH-BAI	BAPH-CIN	BAPH-SCH	BAPH-TOK	BAPH-TUC	ECOL-042	ECOL-559	ECOL-A27	ECOL-A33	ECOL-A87	ECOL-JGI	ECOL-KRI	ECOL-BL2	ECOL-BW2	ECOL-DH1	ECOL-EC4	ECOL-EDL	ECOL-K12	ECOL-103	ECOL-111	ECOL-127	ECOL-139	ECOL-157	ECOL-017	ECOL-018	ECOL-001	ECOL-026	ECOL-045	ECOL-055	ECOL-006	ECOL-K15	ECOL-007	ECOL-081	ECOL-008	ECOL-009	ECOL-REL	ECOL-SAK	ECOL-SE1	ECOL-SE5	ECOL-SMS	ECOL-TW1	ECOL-UTI	EFER-XXX	SBOY-018	SBOY-004	SDYS-XXX	SFLE-245	SFLE-301	SFLE-05B	SFLE-00X	SSON-XXX
metE	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ilvA	2	5	3	2	0	0	0	0	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	2	4	4	4	5	3	5	5	4	4	3	5	7	2	7	3	2	3	5	7	4	4	4	4	4	4	4	4	8	6	4	5	4	4	4	2	3	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	2	2	2	2	3
ilvG_1	1	1	0	0	1	1	1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	2	2	2	1	4	5	5	5	5	5	4	5	5	5	5	5	6	5	6	5	5	6	5	4	6	5	5	5	5	6	4	1	5	3	5	5	5	6	5	5	6	5	6	5	3	3	7	5	7	3	3	4	4	9	8	5	4	4	1	4	3	1	4	5	5	5	5	3	5	6	5	6	4	5	3	5	5	5	3	4	3	5	1	1	1	1	1	1	5	6	5	5	6	6	6	6	5	4	6	6	9	6	6	6	6	6	6	6	7	6	6	6	6	6	5	7	6	6	6	6	6	6	7	6	7	4	5	6	6	6	6	6	6	5
ilvG_2	1	1	0	0	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	2	2	2	1	4	5	5	5	5	5	4	4	5	4	4	4	6	4	5	4	5	4	5	3	6	4	4	4	4	6	4	1	4	3	5	4	5	6	5	4	5	4	5	4	3	3	5	4	7	3	2	4	4	8	8	4	3	3	1	4	3	1	4	4	5	5	5	3	5	6	3	4	5	4	3	5	4	4	3	4	2	4	1	1	1	1	1	1	5	6	5	5	6	6	6	6	5	4	6	6	9	6	6	6	6	6	6	6	7	6	6	6	6	6	5	7	6	6	6	6	6	6	7	6	7	4	5	6	6	6	6	6	6	5
ilvM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ilvB	1	1	0	0	1	1	1	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	2	2	2	1	4	5	5	5	5	5	4	5	5	5	5	5	6	5	6	5	5	6	5	4	6	5	5	5	5	6	4	1	5	3	5	5	5	6	5	5	6	5	6	5	3	3	7	5	7	3	3	4	4	9	8	5	4	4	2	4	3	1	4	5	5	5	5	3	5	6	5	6	4	5	3	5	5	5	3	4	3	5	1	1	1	1	1	1	5	6	5	5	6	6	6	6	5	4	6	6	9	6	6	6	6	6	6	6	7	6	6	6	6	6	5	7	6	6	6	6	6	6	7	6	7	4	5	6	6	6	6	6	6	5
ilvN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	3	2	2	2	2	2	2	2	2	1	2	2	5	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	1
ilvI	1	1	0	0	1	1	1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	2	2	2	1	4	5	5	5	5	5	4	5	5	5	5	5	6	5	6	5	5	6	5	4	6	5	5	5	5	6	4	1	5	3	5	5	5	6	6	5	6	5	6	5	3	3	7	5	7	3	3	4	4	9	8	5	4	4	2	4	3	1	4	5	5	5	5	3	5	6	5	6	4	5	3	5	5	5	3	4	3	5	1	1	1	1	1	1	5	6	5	5	6	6	6	6	5	4	6	6	9	6	6	6	6	6	6	6	7	6	6	6	6	6	5	7	6	6	6	6	6	6	7	6	7	4	5	6	6	6	6	6	6	5
ilvH	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	5	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ilvC	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	2	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	2	4	4	4	2	4	4	4	4	4	4	2	4	4	4	4	4	2	4	4	4	4	2	2	2	2	2	2	4	4	4	2	4	2	2	2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ilvD	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	2	2	2	2	3	3	2	2	6	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2
ilvEIso	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	4	5	5	5	5	5	4	4	4	5	5	3	3	4	4	3	3	5	5	5	3	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	0	0	0	0	0	0	2	2	1	1	2	2	2	2	1	1	1	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
lysC	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	6	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	6	6	6	6	6	4	4	4	6	4	6	6	6	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
asd	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	3	0	4	4	4	2	1	2	2	2	2	4	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
dapA	2	2	2	2	2	2	2	2	2	2	2	4	4	6	2	2	6	4	6	6	6	6	6	6	6	6	4	6	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	8	0	4	4	4	14	4	8	8	6	4	4	4	4	4	4	6	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	2	2	2	2	2	2	6	4	8	8	4	4	4	4	6	8	4	4	8	4	4	7	4	4	8	8	8	4	10	4	8	6	4	6	4	4	4	4	4	9	4	4	8	5	4	4	4	4	4	4	4	4
dapB	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
dapD	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
argD	5	4	5	3	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	10	10	10	10	10	10	11	9	10	9	11	12	9	11	11	10	10	10	9	9	10	9	9	12	9	9	11	9	9	9	9	9	9	9	10	10	12	12	12	10	12	6	9	9	9	8	11	8	8	14	14	12	12	12	11	14	8	5	8	9	10	11	11	11	10	10	9	9	11	9	9	9	9	9	9	9	8	12	2	1	0	2	2	2	7	7	7	7	7	7	7	7	7	7	7	7	11	7	7	6	7	7	7	6	6	7	6	7	6	6	7	6	7	7	7	7	7	6	7	7	6	6	5	6	3	6	6	6	6	6
dapE	0	0	2	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	0	0	0	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	6	3	2	2	2	2	2	1	1	3	1	1	1	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	1	1	1	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	2	3
dapF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
lysA	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
bioC	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	3	1	1	1	1	2	2	0	1	0	1	0	0	0	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	1
fabH	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	4	4	4	4	4	4	2	4	3	3	3	2	3	4	2	4	2	2	2	3	2	2	2	2	2	4	3	2	2	3	3	3	2	2	2	2	2	2	4	3	1	2	3	5	1	3	2	2	4	2	3	3	3	2	3	1	1	3	2	4	3	4	3	4	3	2	3	4	2	2	3	2	2	2	2	1	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
fabG	3	5	1	4	7	8	8	7	7	8	8	7	4	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	7	7	7	8	7	7	7	7	7	7	7	5	6	4	6	6	6	6	6	6	3	2	3	10	37	20	20	20	21	21	23	24	22	20	22	22	22	22	20	25	22	27	19	24	21	24	26	21	23	21	25	18	25	23	23	25	25	21	21	24	24	27	23	21	18	11	25	22	21	29	20	30	30	45	39	23	22	22	26	24	21	17	32	25	22	25	24	29	23	22	23	25	24	26	24	22	25	24	22	25	24	22	1	1	1	1	1	1	16	16	16	16	17	16	16	16	16	17	19	19	16	16	16	14	17	19	18	16	16	16	16	20	16	15	17	15	16	17	17	19	18	18	18	19	16	17	15	15	13	14	15	13	14	15
fabZ	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	2	2	1	2	1	1	3	2	2	2	2	1	2	1	1	2	2	3	1	2	2	1	2	2	2	2	2	3	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
fabI	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	2	1	2	0	1	1	1	1	1	1	0	0	0	1	8	7	7	7	7	6	7	6	7	6	6	6	6	5	6	6	7	7	7	5	5	5	6	4	6	6	7	5	6	7	6	5	7	6	5	6	5	3	5	5	3	3	7	7	5	10	10	5	5	11	11	6	6	6	7	6	6	1	8	7	7	7	7	8	7	4	6	7	7	8	6	7	7	7	6	6	8	6	1	1	1	1	1	1	6	6	6	6	7	6	6	5	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6	7	4	5	6	5	6	6	6	6	6	6	6	6	5	3	6	6	6	5	5	5	5	6
fabB	0	0	0	0	2	2	2	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40	1	1	1	1	1	1	4	0	1	1	1	1	1	1	0	1	4	1	1	1	1	1	2	1	1	8	3	4	1	1	0	1	1	1	1	1	1	1	3	2	0	3	1	1	1	2	1	1	4	1	1	2	1	1	2	5	1	17	4	3	1	8	7	2	1	2	1	1	6	5	1	4	2	1	1	2	2	1	1	1	1	1	1	5	3	2	2	2	2	2	2	2	2	5	5	2	2	2	2	2	5	5	7	3	3	3	5	10	8	3	3	2	2	2	5	2	3	2	5	8	4	2	2	3	2	2	2	2	2
bioH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	3	1	1	2	1	1	1	2	2	2	1	3	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	2	0	1	2	1	0	0	0	0	0	0	2	2	3	2	3	0	0	1	1	2	2	1	0	2	1	2	1	2	2	1	2	1	1	1	1	3	2	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bioF	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	6	6	6	6	4	6	4	4	4	4	0	2	4	4	4	4	4	7	4	2	4	2	2	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	2	4	0	2	0	0	0	0	6	6	4	4	6	4	6	6	4	4	4	4	4	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	4	6	4	4	4	4	6	6	4	6	4
bioA	5	4	5	3	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	9	9	9	9	9	9	10	8	9	8	10	11	8	10	10	9	9	9	9	8	9	8	8	11	8	8	10	8	8	8	8	8	8	8	9	9	11	11	11	8	12	5	8	8	8	8	11	7	7	14	14	11	10	11	11	13	7	5	7	8	9	10	10	10	9	9	8	8	10	8	8	8	8	8	8	8	8	11	2	1	0	2	2	2	7	7	7	7	7	7	7	7	7	7	7	7	11	7	7	6	7	7	7	6	6	7	6	7	6	6	7	6	7	7	7	7	7	6	7	7	6	6	5	6	3	6	6	6	6	6
bioD	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
bioB	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PH0589	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
